,x_0,r_ctrl,method,p_spl,rho_up,n_itr,rho,vol,cpu_t
0,"[ 0.         -0.62831853 -1.88495559  0.          0.          0.
  0.          0.          0.          0.          0.          0.        ]","[[1. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 1.]]",robust,50000,0.0005,3,0.00040500000000000003,4.213459145590034e-21,"[[2.316610785, 0.013588491000000147], [2.2075176369999996, 0.013254451999999972], [2.2060843940000003, 0.013104332000000163]]"
0,"[ 0.         -0.62831853 -1.88495559  0.          0.          0.
  0.          0.          0.          0.          0.          0.        ]","[[1. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 1.]]",CS,50000,0.002,5,0.0012396731859037001,3.465388207364097e-18,"[[30.988894228999996, 0.00025813999999968473], [31.177168639, 0.0002229629999987992], [31.395021040000003, 0.00022076900000911337], [31.32501756500001, 0.00022715200000789082], [32.157918577000004, 0.00023480500001937799]]"
0,"[ 0.         -0.62831853 -1.88495559  0.          0.          0.
  0.          0.          0.          0.          0.          0.        ]","[[1. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 1.]]",B,50000,0.003,2,0.0025774804809050125,2.7995031371063307e-16,"[[32.788129336, 0.0005435550000072453], [33.257389891, 0.000544896000008066]]"
