-0.1144,2.0578
-0.10864,2.0638
-0.10287,2.0698
-0.097083,2.0758
-0.091277,2.0818
-0.061995,2.112
-0.032291,2.1423
-0.0021628,2.1727
0.028389,2.203
0.18745,2.3525
0.35662,2.4898
0.53455,2.6007
0.71879,2.6684
0.9333,2.6695
1.1437,2.5693
1.3415,2.3631
1.5192,2.0635
1.6699,1.7032
1.7909,1.3228
1.8821,0.95599
1.9455,0.63082
1.9813,0.3901
2.0015,0.18925
2.0089,0.025018
2.0057,-0.10747
1.994,-0.216
1.9753,-0.30362
1.9508,-0.37509
1.9216,-0.43425
1.8926,-0.47876
1.8611,-0.51798
1.8271,-0.55332
1.791,-0.5859
1.7356,-0.62976
1.6763,-0.67193
1.6131,-0.71414
1.546,-0.75785
1.4282,-0.83538
1.298,-0.92549
1.1532,-1.0341
0.99048,-1.1685
0.78027,-1.3595
0.53242,-1.6122
0.23647,-1.9306
-0.11573,-2.2868
-0.34547,-2.4827
-0.59193,-2.6277
-0.84819,-2.6788
-1.1033,-2.5969
-1.3432,-2.3567
-1.5532,-1.9889
-1.7235,-1.5475
-1.8504,-1.0958
-1.9338,-0.70331
-1.9838,-0.3777
-2.0069,-0.12251
-2.009,0.070684
-2.0014,0.17191
-1.9881,0.25583
-1.9701,0.32575
-1.948,0.38454
-1.9226,0.43467
-1.8943,0.47812
-1.8635,0.51649
-1.8304,0.55112
-1.7827,0.59369
-1.7315,0.6334
-1.6771,0.67185
-1.6195,0.71037
-1.5254,0.77164
-1.4231,0.83896
-1.3118,0.91578
-1.1899,1.0059
-1.0101,1.1513
-0.80243,1.3407
-0.5584,1.5859
-0.26836,1.8931
-0.21848,1.9464
-0.1672,2.0007
-0.11449,2.0561
-0.060341,2.112
